scenario_number,stop_index,stop_id,stop_sequence,baseline_dwell_time,scenario_dwell_time
9,0,901736,1,10.83940523,12.00740726
9,1,303710,2,6.003647774,6.086995394
9,2,303711,3,5.319342473,5.297353018
9,3,303712,4,7.144156608,7.386464916
9,4,303713,5,13.43976537,12.86062296
9,5,303714,6,6.140508834,6.204626184
9,6,306974,7,5.456203534,5.409315825
9,7,306322,8,6.277369894,6.133188823
9,8,303717,9,5.775546007,5.748459727
9,9,303718,10,5.13686106,5.147898349
9,10,308136,11,11.88867336,12.0322309
9,11,303720,12,5.54744424,5.572849021
9,12,303722,13,5.54744424,5.542224342
9,13,303723,14,5.27372212,5.275546685
9,14,303724,15,5.091240707,5.09166269
9,15,303725,16,5.319342473,5.292118708
9,16,303726,17,15.49268127,15.37839813
9,17,303727,18,5.319342473,5.328162729
9,18,303728,19,5.13686106,5.151015911
9,19,303729,20,5.27372212,5.272783507
9,20,303730,21,5.821166361,5.810954609
9,21,303731,22,5.866786714,5.756425058
9,22,303732,23,5.593064594,5.558336348
9,23,303733,24,5.54744424,5.554182346
9,24,303734,25,5.638684947,5.621128784
9,25,303735,26,6.322990248,6.240856504
9,26,303736,27,7.326638021,7.26777281
9,27,303737,28,6.870434488,6.61118978
9,28,303738,29,5.501823887,5.487108079
9,29,304663,30,6.186129187,6.207302524
9,30,304664,31,10.10947958,9.726285883
9,31,306600,32,5.729925654,5.78810205
9,32,306676,33,5.501823887,5.534453056
9,33,306677,34,5.364962827,5.292140817
9,34,306474,35,5.593064594,5.674374191
9,35,305263,36,5.958027421,5.895468943
9,36,305264,37,5.729925654,5.815231004
9,37,305265,38,6.733573428,6.756441636
9,38,306476,39,8.284665443,8.437055589
9,39,307114,40,7.144156608,7.526310607
9,40,306622,41,7.554739788,7.392109281
9,41,305271,42,6.414230954,6.428954047
9,42,305272,43,6.414230954,6.454784271
9,43,306623,44,5.501823887,5.530125485
9,44,307121,45,5.091240707,5.074028583
9,45,305155,46,6.003647774,5.977515653
9,46,305156,47,6.094888481,6.056242461
9,47,305157,48,7.96532297,8.281634236
9,48,305159,49,7.691600848,7.392046569
9,49,308186,50,7.782841555,7.963089215
9,50,305284,51,7.919702614,7.857847473
9,51,308187,52,5.6843053,5.562268031
9,52,305286,53,8.330285796,8.148813508
10,0,901736,1,10.83940523,10.57859144
10,1,303710,2,6.003647774,6.089993596
10,2,303711,3,5.319342473,5.328130116
10,3,303712,4,7.144156608,6.748574508
10,4,303713,5,13.43976537,14.61246483
10,5,303714,6,6.140508834,6.252531011
10,6,306974,7,5.456203534,5.433878377
10,7,306322,8,6.277369894,6.343871828
10,8,303717,9,5.775546007,5.797909519
10,9,303718,10,5.13686106,5.151650972
10,10,308136,11,11.88867336,11.94353283
10,11,303720,12,5.54744424,5.564803435
10,12,303722,13,5.54744424,5.627658566
10,13,303723,14,5.27372212,5.237260058
10,14,303724,15,5.091240707,5.097928911
10,15,303725,16,5.319342473,5.325458979
10,16,303726,17,15.49268127,16.94784934
10,17,303727,18,5.319342473,5.358122281
10,18,303728,19,5.13686106,5.163198698
10,19,303729,20,5.27372212,5.276110748
10,20,303730,21,5.821166361,5.915920261
10,21,303731,22,5.866786714,5.667344656
10,22,303732,23,5.593064594,5.503858564
