scenario_number,stop_index,stop_id,stop_sequence,stop_name,baseline_ridership,scenario_ridership
5,34,306474,35,GRAHAM AV/SCHOLES ST,20.69877049,22.8052668
5,35,305263,36,GRAHAM AV/GRAND ST,33.43647541,35.14253467
5,36,305264,37,GRAHAM AV/AINSLIE ST,25.47540984,24.11437079
5,37,305265,38,GRAHAM AV/METROPOLITAN AV,60.50409836,53.57190015
5,38,306476,39,GRAHAM AV/JACKSON ST,114.6393443,116.2220994
5,39,307114,40,GRAHAM AV/MEEKER AV,74.83401639,77.16153609
5,40,306622,41,GRAHAM AV/BAYARD ST,89.16393443,97.01874974
5,41,305271,42,GRAHAM AV/ENGERT AV,49.35860656,42.71436766
5,42,305272,43,GRAHAM AV/DRIGGS AV,49.35860656,45.73743246
5,43,306623,44,DRIGGS AV/LEONARD ST,17.51434426,14.28667295
5,44,307121,45,MANHATTAN AV/NASSAU AV,3.18442623,3.570758233
5,45,305155,46,MANHATTAN AV/NORMAN AV,35.02868852,36.02425809
5,46,305156,47,MANHATTAN AV/MESEROLE AV,38.21311475,42.76387239
5,47,305157,48,MANHATTAN AV/CALYER ST,103.4938525,85.16267436
5,48,305159,49,MANHATTAN AV/GREENPOINT AV,93.94057377,115.2346688
5,49,308186,50,MANHATTAN AV/INDIA ST,97.125,98.61635201
5,50,305284,51,MANHATTAN AV/EAGLE ST,101.9016393,96.69655368
5,51,308187,52,MANHATTAN AV/CLAY ST,23.88319672,22.48186508
5,52,305286,53,BOX ST/MANHATTAN AV,116.2315574,109.6573227
6,0,901736,1,LINCOLN RD/OCEAN AV,203.8032787,195.4942724
6,1,303710,2,EMPIRE BLVD/WASHINGTON AV,35.02868852,34.78997752
6,2,303711,3,EMPIRE BLVD/BEDFORD AV,11.1454918,10.89173398
6,3,303712,4,EMPIRE BLVD/ROGERS AV,74.83401639,81.6807969
6,4,303713,5,EMPIRE BLVD/NOSTRAND AV,294.5594262,294.8800335
6,5,303714,6,EMPIRE BLVD/NEW YORK AV,39.80532787,37.3476872
6,6,306974,7,EMPIRE BLVD/BROOKLYN AV,15.92213115,13.04212262
6,7,306322,8,EMPIRE BLVD/LAMONT CT,44.58196721,46.60471432
6,8,303717,9,KINGSTON AV/MONTGOMERY ST,27.06762295,24.83993353
6,9,303718,10,KINGSTON AV/CARROLL ST,4.776639344,4.431599692
6,10,308136,11,KINGSTON AV/UNION ST,240.4241803,262.306957
6,11,303720,12,KINGSTON AV/SAINT JOHNS PL,19.10655738,15.84155672
6,12,303722,13,KINGSTON AV/PROSPECT PL,19.10655738,20.1326896
6,13,303723,14,KINGSTON AV/BERGEN ST,9.553278689,9.687870284
6,14,303724,15,KINGSTON AV/PACIFIC ST,3.18442623,3.081660885
6,15,303725,16,KINGSTON AV/ATLANTIC AV,11.1454918,12.30437204
6,16,303726,17,KINGSTON AV/FULTON ST,366.2090164,333.2246943
6,17,303727,18,THROOP AV/FULTON ST,11.1454918,10.78210908
6,18,303728,19,THROOP AV/MACDONOUGH ST,4.776639344,4.469755595
6,19,303729,20,THROOP AV/HALSEY ST,9.553278689,10.11788117
6,20,303730,21,THROOP AV/JEFFERSON AV,28.65983607,26.70235677
6,21,303731,22,THROOP AV/MADISON ST,30.25204918,34.90005013
6,22,303732,23,THROOP AV/GATES AV,20.69877049,20.74673131
6,23,303733,24,THROOP AV/GREENE AV,19.10655738,18.52448388
6,24,303734,25,THROOP AV/LAFAYETTE AV,22.29098361,25.64998364
6,25,303735,26,THROOP AV/DE KALB AV,46.17418033,45.79308684
6,26,303736,27,THROOP AV/HART ST,81.20286885,90.47942217
6,27,303737,28,THROOP AV/MYRTLE AV,65.2807377,75.3267183
6,28,303738,29,THROOP AV/PARK AV,17.51434426,16.53522212
6,29,304663,30,FLUSHING AV/THROOP AV,41.39754098,37.80871375
6,30,304664,31,FLUSHING AV/BROADWAY,178.3278689,194.0326942
6,31,306600,32,GRAHAM AV/COOK ST,25.47540984,21.84371786
6,32,306676,33,GRAHAM AV/SEIGEL ST,17.51434426,15.58211498
6,33,306677,34,GRAHAM AV/JOHNSON AV,12.73770492,13.05325145
6,34,306474,35,GRAHAM AV/SCHOLES ST,20.69877049,21.52035954
6,35,305263,36,GRAHAM AV/GRAND ST,33.43647541,35.29357502
6,36,305264,37,GRAHAM AV/AINSLIE ST,25.47540984,29.04439817
6,37,305265,38,GRAHAM AV/METROPOLITAN AV,60.50409836,56.93825443
6,38,306476,39,GRAHAM AV/JACKSON ST,114.6393443,138.9442119
6,39,307114,40,GRAHAM AV/MEEKER AV,74.83401639,71.86063182
6,40,306622,41,GRAHAM AV/BAYARD ST,89.16393443,75.48633114
6,41,305271,42,GRAHAM AV/ENGERT AV,49.35860656,57.8976618
6,42,305272,43,GRAHAM AV/DRIGGS AV,49.35860656,45.46605468
6,43,306623,44,DRIGGS AV/LEONARD ST,17.51434426,19.64372188
6,44,307121,45,MANHATTAN AV/NASSAU AV,3.18442623,3.321682255
6,45,305155,46,MANHATTAN AV/NORMAN AV,35.02868852,26.91248936
6,46,305156,47,MANHATTAN AV/MESEROLE AV,38.21311475,36.0987542
6,47,305157,48,MANHATTAN AV/CALYER ST,103.4938525,90.39453422
